id,title,release_date,runtime,production_countries,overview,cast,crew,,,,,,,
1506,"Big Mommas: Like Father, Like Son",16/02/2011,107,United States of America,"FBI agent Malcolm Turner and his 17-year-old son, Trent, go undercover at an all-girls performing arts school after Trent witnesses a murder. Posing as Big Momma and Charmaine, they must find the murderer before he finds them.","Martin Lawrence,Brandon T. Jackson,Portia Doubleday,Mari Morrow,Faizon Love","Director:  John Whitesell , Screenwriter:  Matt Fogel , Producer:  David T. Friendly,Producer:  Michael Green",,,,,,,
1507,Source Code,30/03/2011,93,"Canada,United States of America","Decorated soldier Captain Colter Stevens wakes up in the body of an unknown man, discovering he's involved in a mission to find the bomber of a Chicago commuter train. He learns he's part of a top-secret experimental program that enables him to experience the final 8 minutes of another person's life. Colter re-lives the train incident over and over again, gathering more clues each time. But can he discover who is responsible for the attack before the next one happens?","Jake Gyllenhaal,Michelle Monaghan,Vera Farmiga,Russell Peters,Michael Arden","Director:  Duncan Jones , Screenwriter:   , Producer:  Mark Gordon,Producer:  Philippe Rousselet,Producer:  Jordan Wynn",,,,,,,
1508,Alive,15/01/1993,120,United States of America,"The amazing, true story of a Uruguayan rugby team's plane that crashed in the middle of the Andes mountains, and their immense will to survive and pull through alive, forced to do anything and everything they could to stay alive on meager rations and through the freezing cold.","Ethan Hawke,Vincent Spano,Josh Hamilton,Bruce Ramsay,John Newton","Director:  Frank Marshall , Screenwriter:  John Patrick Shanley , Producer:  Kathleen Kennedy,Producer:  Robert Watts",,,,,,,
1509,The Number 23,23/02/2007,101,"Germany,United States of America","Walter Sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. As soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. But now he's worried that a fictional murder might materialize.","Jim Carrey,Virginia Madsen,Logan Lerman,Danny Huston,Lynn Collins","Director:  Joel Schumacher , Screenwriter:  Fernley Phillips , Producer:  Beau Flynn,Producer:  Tripp Vinson",,,,,,,
1510,The Young and Prodigious T.S. Spivet,16/10/2013,105,"Canada,France",A 12-year-old cartographer secretly leaves his family's ranch in Montana where he lives with his cowboy father and scientist mother and travels across the country on board a freight train to receive an award at the Smithsonian Institute.,"Kyle Catlett,Helena Bonham Carter,Judy Davis,Callum Keith Rennie,Niamh Wilson","Director:  Jean-Pierre Jeunet , Screenwriter:  Guillaume Laurant , Producer:  Jean-Pierre Jeunet,Producer:  Fr\u00e9d\u00e9ric Brillion,Producer:  Gilles Legrand",,,,,,,
1511,1941,13/12/1979,113,United States of America,"It's been six days since the attack on Pearl Harbor. Panic grips California, supposedly the next target of the Japanese forces. Everywhere in California, people are suffering from war nerves. Chaos erupts all over the state. An Army Air Corps Captain, a civilian with a deranged sense of Nationalism, civilian defenders, and a Motor Pool crew all end up chasing a Japanese sub planning to attack LA.","Dan Aykroyd,Ned Beatty,John Belushi,Lorraine Gary,Murray Hamilton","Director:  Steven Spielberg , Screenwriter:  John Milius , Producer:  Buzz Feitshans",,,,,,,
1512,Dreamer: Inspired By a True Story,10/09/2005,106,,Ben Crane believes that a severely injured racehorse deserves another chance. He and his daughter Cale adopt the horse (in fact is a mare)and save it of being sacrificed by the owner.,"Kurt Russell,Dakota Fanning,Kris Kristofferson,Elisabeth Shue,David Morse","Director:  John Gatins , Screenwriter:   , Producer:  ",,,,,,,
1513,A History of Violence,23/09/2005,96,"United States of America,Canada,Germany",An average family is thrust into the spotlight after the father commits a seemingly self-defense murder at his diner.,"Viggo Mortensen,Maria Bello,Heidi Hayes,Ashton Holmes,William Hurt","Director:  David Cronenberg , Screenwriter:  Josh Olson , Producer:  Chris Bender,Producer:  J.C. Spink",,,,,,,
1514,Transporter 2,02/08/2005,87,"France,United States of America","Professional driver Frank Martin is living in Miami, where he is temporarily filling in for a friend as the chauffeur for a government narcotics control policymaker and his family. The young boy in the family is targeted for kidnapping, and Frank immediately becomes involved in protecting the child and exposing the kidnappers.","Jason Statham,Amber Valletta,Kate Nauta,Alessandro Gassman,Fran\u00e7ois Berl\u00e9and","Director:  Louis Leterrier , Screenwriter:   , Producer:  Luc Besson,Producer:  Steve Chasman",,,,,,,
1515,The Quick and the Dead,09/02/1995,107,"Japan,United States of America","A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.","Sharon Stone,Gene Hackman,Russell Crowe,Leonardo DiCaprio,Tobin Bell","Director:  Sam Raimi , Screenwriter:  Simon Moore , Producer:  Patrick Markey,Producer:  Allen Shapiro,Producer:  Joshua Donen",,,,,,,
1516,Laws of Attraction,04/04/2004,90,"Germany,Ireland,United Kingdom","Amidst a sea of litigation, two New York City divorce lawyers find love.","Pierce Brosnan,Julianne Moore,Michael Sheen,Parker Posey,Frances Fisher","Director:  Peter Howitt , Screenwriter:  Aline Brosh McKenna,Screenwriter:  Robert Harling , Producer:  Marc Turtletaub,Producer:  David T. Friendly,Producer:  Beau St. Clair,Producer:  David Bergstein,Producer:  Julie Durk",,,,,,,
1517,Bringing Out the Dead,22/10/1999,121,United States of America,"48 hours in the life of a burnt-out paramedic. Once called Father Frank for his efforts to rescue lives, Frank sees the ghosts of those he failed to save around every turn. He has tried everything he can to get fired, calling in sick, delaying taking calls where he might have to face one more victim he couldn't help, yet cannot quit the job on his own.","Nicolas Cage,Patricia Arquette,John Goodman,Ving Rhames,Tom Sizemore","Director:  Martin Scorsese , Screenwriter:  Paul Schrader , Producer:  Scott Rudin,Producer:  Barbara De Fina",,,,,,,
1518,Repo Men,18/03/2010,111,"Canada,United States of America","In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.","Jude Law,Forest Whitaker,Alice Braga,Liev Schreiber,Carice van Houten","Director:  Miguel Sapochnik , Screenwriter:  Garrett Lerner , Producer:  Scott Stuber,Producer:  Mary Parent",,,,,,,
1519,Dragon Wars: D-War,08/02/2007,90,South Korea,"Based on the Korean legend, unknown creatures will return and devastate the planet. Reporter Ethan Kendrick is called in to investigate the matter...","Jason Behr,Robert Forster,Aimee Garcia,Chris Mulkey,Elizabeth Pe\u00f1a","Director:  Shim Hyung-Rae , Screenwriter:   , Producer:  James B. Kang",,,,,,,
1520,Bogus,06/09/1996,110,United States of America,"Recently orphaned, a young boy is taken in by his godmother who is shocked to realize that she can see the boy's imaginary friend: a flamboyant, French magician named Bogus.","Whoopi Goldberg,G\u00e9rard Depardieu,Haley Joel Osment,Ute Lemper,Andrea Martin","Director:  Norman Jewison , Screenwriter:  Alvin Sargent , Producer:  Arnon Milchan,Producer:  Norman Jewison,Producer:  Jeff Rothberg",,,,,,,
1521,The Incredible Burt Wonderstone,14/03/2013,100,United States of America,"After breaking up with his longtime stage partner, a famous but jaded Vegas magician fights for relevance when a new, ""hip"" street magician appears on the scene.","Steve Carell,Jim Carrey,Steve Buscemi,Olivia Wilde,James Gandolfini","Director:  Don Scardino , Screenwriter:   , Producer:  Chris Bender,Producer:  Steve Carell,Producer:  Jake Weiner,Producer:  Tyler Mitchell",,,,,,,
1522,Cats Don't Dance,26/03/1997,75,United States of America,"Danny, an ambitious singing/dancing cat, goes to Hollywood and overcomes several obstacles to fulfill his dream of becoming a movie star.","Scott Bakula,Jasmine Guy,Natalie Cole,Ashley Peldon,Lindsay Ridgeway","Director:  Mark Dindal , Screenwriter:  Cinco Paul,Screenwriter:  Theresa Cullen,Screenwriter:  Elana Lesser,Screenwriter:  Roberts Gannaway,Screenwriter:  Cliff Ruby , Producer:  ",,,,,,,
1523,Cradle Will Rock,10/12/1999,132,United States of America,"A true story of politics and art in the 1930s USA, centered around a leftist musical drama and attempts to stop its production.","Hank Azaria,Rub\u00e9n Blades,Joan Cusack,John Cusack,Bill Murray","Director:  Tim Robbins , Screenwriter:   , Producer:  Tim Robbins,Producer:  Jon Kilik,Producer:  Lydia Dean Pilcher",,,,,,,
1524,The Good German,08/12/2006,108,United States of America,An American journalist played by George Clooney arrives in Berlin just after the end of World War Two. He becomes involved in a murder mystery surrounding a dead GI who washes up at a lakeside mansion during the Potsdam negotiations between the Allied powers. Soon his investigation connects with his search for his married pre-war German lover played by Cate Blanchett.,"George Clooney,Cate Blanchett,Tobey Maguire,Tony Curran,Leland Orser","Director:  Steven Soderbergh , Screenwriter:  Paul Attanasio , Producer:  ",,,,,,,
1525,George and the Dragon,28/03/2004,93,"Germany,United Kingdom,United States of America,Luxembourg",A knight returning from the Crusades takes on a dragon and becomes a legend.,"James Purefoy,Piper Perabo,Patrick Swayze,Michael Clarke Duncan,Bill Treacher","Director:  Tom Reeve , Screenwriter:  Tom Reeve,Screenwriter:  Michael Burks , Producer:  Todd Moyer,Producer:  Romain Schroeder",,,,,,,
1526,Apocalypse Now,15/08/1979,153,United States of America,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.","Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Sam Bottoms","Director:  Francis Ford Coppola , Screenwriter:  Francis Ford Coppola,Screenwriter:  John Milius , Producer:  Francis Ford Coppola,Producer:  Gray Frederickson,Producer:  Fred Roos,Producer:  Tom Sternberg,Producer:  John Ashley,Producer:  Eddie Romero,Producer:  Mona Skager",,,,,,,
1527,Going the Distance,01/09/2010,102,United States of America,"Erin and Garrett are very much in love. When Erin moves to San Francisco to finish her journalism degree and Garrett stays behind in New York to work in the music industry, they gamely keep the romance alive with webcams and frequent-flyer miles. But just when it seems the lovers will soon be reunited, they each score a big break that could separate them for good.","Drew Barrymore,Justin Long,Charlie Day,Jason Sudeikis,Christina Applegate","Director:  Nanette Burstein , Screenwriter:   , Producer:  Adam Shankman,Producer:  Jennifer Gibgot,Producer:  Garrett Grant",,,,,,,
1528,Mr. Holland's Opus,29/12/1995,137,United States of America,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy","Director:  Stephen Herek , Screenwriter:  Patrick Sheane Duncan , Producer:  Ted Field,Producer:  Robert W. Cort,Producer:  Michael Nolin",,,,,,,
1529,Criminal,14/04/2016,113,"United Kingdom,United States of America","Bill Pope is a CIA agent on a mission in London tracking down a shadowy hacker nicknamed ""The Dutchman."" When he gets mysteriously ambushed and killed, an experimental procedure is used to transfer his memories into dangerous ex-convict Jericho Stewart. When he wakes up with the CIA agent's memories, his mission is to find The Dutchman and eliminate him before the hacker launches ICBM's and starts World War III. But complications soon arise and the mission turns personal.","Kevin Costner,Gary Oldman,Tommy Lee Jones,Ryan Reynolds,Jordi Moll\u00e0","Director:  Ariel Vromen , Screenwriter:   , Producer:  Chris Bender,Producer:  Boaz Davidson,Producer:  Avi Lerner,Producer:  J.C. Spink,Producer:  John Thompson,Producer:  Trevor Short,Producer:  Lati Grobman,Producer:  Mark Gill,Producer:  Christa Campbell,Producer:  Matthew O'Toole,Producer:  Miguel Men\u00e9ndez de Zubillaga",,,,,,,
